,"Unnamed: 0, nan","№ п/п, nan","Дата составления, nan","Организация, nan","Месторождение, nan","ЛУ, nan","Цех, nan","ТЛ/ДНС, nan","АГЗУ, nan","№ Скв, nan","Номер куста, nan","Дата ввода в эксплуатацию, nan","Тип ствола скв., nan","Пласт,  ","Состояние по фонду, nan","текущее состояние, nan","Скин фактор, nan","Дата ГРП, nan","Исполнитель ГРП, nan","Примечание ГРП, nan","P нас, ат","ГС, м3/м3","Вязкость нефти (пл.усл), сПз","Вязкость воды (пл.усл.), сПз","Вязкость жидкости (станд.усл), сПз","Объемный коэф-т нефти, nan","Плот-ть нефти (станд.усл), г/см3","Плот-ть нефти  (пл.усл.), г/см3","Т пласта, ͦС","Плот-ть воды (станд.усл), г/см3","Dэк 
внешн., мм","Толщ. стенки, мм","Интервал спуска ЭК, м","Исскуств. забой, м","Текущий забой, м","Дата отбивки текущего забоя, nan","Способ отбивки текущего забоя, nan","Примечание, nan","Тип конструкции  забоя, nan","Интервалы перфорации, м","Нперф_Эфф, м","Нвд_замер, м","Удлинение на Нвд, м","Интервал спуска хвостовика, м","Диаметр хвостовика, мм","Толщ.стенки хвостовика, мм","Способ эксплуатации, nan","Глубина 1 и.о., м","Давление запуска
1 и.о., ат","Глубина 2 и.о., м","Давление запуска
2 и.о., ат","Глубина 3 и.о., м","Давление запуска
3 и.о., ат","Глубина 4 и.о., м","Давление запуска
4 и.о., ат","Глубина 5 и.о., м","Давление запуска
5 и.о., ат","Глубина 6 и.о., м","Давление запуска
6 и.о., ат","Глубина НПЦК, м","Состояние НПЦК, nan","Примечание.1, nan","Тип насоса, nan","Число ступеней, шт","Напор, м","Частота, Гц","ПЭД, кВт","Qтеор, м3/сут","Глубина спуска ПО, м","Глубина спуска ПО (по верт.), м","Удлинение на гл спуска ПО, м","Dнкт, мм","Толщина стенки НКТ, мм","Dшт, мм","Вид штуцера, nan","Режим работы, nan","Время работы, час","Время
накопления, 0+","Рбуф, ат","Рзатр, ат","Рлин, ат","Дата замера Рпл, nan","Рпл, ат","Рг/г, ат","Состояние АСУРГГ, nan","Модификация АСУРГГ, nan","Dшт линии подачи г/г, мм","Ндин (расчетный от Рпр), м","Р пр (расчетный от Нд), ат","Ндин, м","Р пр, ат","Рзаб, ат","Дебит нефти, т/сут","Дебит жидкости, м3/сут","Обводненность, %","Дебит газа, тыс.м3/сут","Расход г/г, тыс.м3/сут","Расход г/г.1, м3/ч","Дебит ПНГ, тыс.м3/сут","ГФ, м3/сут","УРГГ, м3/т","Кпрод, м3/(сут*ат)"
183,1108,107.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-15,1108,К-15,2013-05-31 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,, ,,203,218.2,0.98,1.66,1.5936520376175547,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2070,2820,2820,,,,открытый,2176-2288 ; 2320-2820 ,25,2176,274.69,,,,ЭЦН,300,ГП,-,-,-,-,-,-,-,-,-,-,1238,закрыт,-,D2400N,-,1712,52,56-117,-,1740,1575,165,73,5.5,65,Угловик,Постоянный,24,0,44,52,27,2023-04-01 00:00:00,152,,,,,1168.4106290331042,75.58858557299999,,83,119.58858557299999,22.070400000000017,440,94,11.3,,,11.3,511.99797013194103,,13.57546431646816
184,1108-2,107.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-15,1108-2,К-15,2013-07-29 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,,,,203,218.2,0.98,1.66,1.6372785829307568,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2320,2972,2972,,,,открытый,2320-2972,28.16,2320,437,,,,ЭЦН,300,ГК 45 15/16,-,-,-,-,-,-,-,-,-,-,1753,закрыт,-,D2400N,-,1111,55,63,-,1815,1627,188,73,5.5,65,Угловик,Постоянный,24,0,26,28,26,2023-04-01 00:00:00,135,,,,,1404.0316352762184,48.1568896,,45,74.1568896,3.4276000000000026,205,98,5,,,7.4,1458.7466448827156,,3.369321500039551
185,1110-1,108.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-14,1110-1,К-14,2014-09-04 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,Остановлена,,,,,203,218.2,0.98,1.66,1.2785287645394527,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2011,2700,2700,,,,открытый,2011-2700,10,2011,193.16,,,,Газлифт,599.999990625,ГП,1199.99998125,ГК 81 1/8,1499.999976563,ГК 80 1/8,,,-,-,-,-,1730,закрыт,-,-,-,-,-,-,-,2100,1825.49,274.51,73,5.5,18,штуцер,Постоянный,24,0,28,50,27,2023-04-01 00:00:00,95,73,В работе,Сиант ,,,30,,,58,1.4918420000000003,4.15,57,15,12,,3,2010.9368150246469,2836.147934421642,0.11216216216216217
186,1111,109.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-3,1111,К-3,2014-12-31 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,1996,2870,2870,,,,открытый,1996-2870,97.46,1996,93,,,,Газлифт,440.000008008,ГП,790.000002539,ГП,1070.00002793,ГП,1299.999979688,ГК 81 1/8,-,-,-,-,1670,открыт,-,-,-,-,-,-,-,2020,1745.56,274.44000000000005,73,5.5,65,Угловик,Постоянный,24,0,27,35,26,2023-04-01 00:00:00,106,70,В работе,Сиант ,5,,17,,,44,7.106,8.5,0,20,9.6,,10.4,1463.5519279482128,1350.9710104137348,0.13709677419354838
187,1111-2,110.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-33,1111-2,К-33,2014-08-31 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2183,2858;2865;2766,2865,,,,открытый,"2239-2865; 2300-2858; 2275,2-2276,63;2453,31-2454,74;2561,54-2562,97;2609,81-2611,24;2730,16-2731,39",13.5,2239,253.05,"2151,17-2744",114,7.37,Газлифт,569.999998535,ГК 78 /3,999.999984375,ГК 79/3,1394.999948438,ГК 80/3,1740.000062109,ГК 80/4,1969.999939453,ЦКсОК 5/16,-,-,-,-,-,-,-,-,-,-,-,2270,1942.07,327.93000000000006,73,5.5,18,Угловик,Постоянный,24,0,19,42,18,2023-04-01 00:00:00,91,80,В работе,Сиант ,5,,22,,,41,4.18,5,0,16.8,9.4,,7.4,1770.3349282296651,2248.8038277511964,0.1
188,1111-1,110.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-33,1111-1,К-33,2014-06-24 00:00:00,Гор.,P4+5+6_Block1_yug,Бездействие,Остановлена,,, ,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2183,2939,2939,,,,открытый, 2043-2939,22,2183,268.82,,,,Газлифт,540,ГП,1040,ГП,1480,ГП,1813,ГП,2005,ГП,-,-,2015,закрыт,-,-,-,-,-,-,-,2200,1924.37,275.6300000000001,73,5.5,18,Угловик,Периодический,24,48,17,41,16,2023-04-01 00:00:00,123,74,В работе,Сиант ,5,,28.340000000000003,,,45.34,5.016,6,0,17,12,,5,996.8102073365231,2392.3444976076557,0.07725985063095545
189,1112,110.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-33,1112,Куст скважины-1112,2012-03-31 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,, ,,203,218.2,0.98,1.66,0.9801204485370489,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1945,"2400;2447,2;2356,5;2240",2400,,,,открытый,"1960-2400;1970-2447,2;2020-2356,5;1975,46-1976,26;2025,22-2026,02;2075,02-2075,82",129.3,1960,3.46,,,,Газлифт,599.999990625,ГК 78 1/8,1199.99998125,ГК 77 1/8,1810.00003125,ЦКсОК 5/16,-,-,-,-,-,-,1820,закрыт,-,-,-,-,-,-,-,1980,1912.41,67.58999999999992,73,5.5,18,Угловик,Периодический,24,24,22,32,21,2023-04-01 00:00:00,72,78,В работе,Сиант ,5,,20,,,42,4.178745999999999,5,0.03,11.673,3.6,,8.073,1931.919288705272,861.1445136841842,0.16666666666666666
190,1112-2,111.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-33,1112-2,Куст скважины-1112,2012-08-30 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,Остановлена,,, ,,203,218.2,0.98,1.66,1.070080117874574,1.454,0.836,0.72,34.3,1.17,177.8,8.05,1945,2500,2500,,,,открытый,1945-2500 ,54.21,1945,4.69,,,,Газлифт,549.999991406,ГП,980.000014453,ГП,1290.000069141,ГП,1580.000005078,ЦКсОК 5/16,-,-,-,-,1783,закрыт,-,-,-,-,-,-,-,1950,1820.29,129.71000000000004,73,5.5,18,Угловик,Постоянный,24,0,20,39,19,2023-04-01 00:00:00,129,74,В работе,Сиант ,5,,34,,,54,7.56526078,11.39,20.55,14.7,9.6,,5.1,674.1340646819051,934.2404051191822,0.15186666666666668
191,1112-1,112.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-33,1112-1,Куст скважины-1112,2012-06-10 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,, ,,203,218.2,0.98,1.66,1.0819366852886405,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1945,2607.5,2607.5,,,,открытый,"1938,68-1939,78;1939,78;2097,98-2099,08;22226,03-2227,13;2325,1-2326,3;23900,58-2391,68",320.24,1469.2,2,1593-2402,114,7.37,Газлифт,560.000013574,ГП,1046.999980664,ГП,1442.000019141,ЦКсОК 5/16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1950,1921.94,28.059999999999945,73,5.5,18,Угловик,Постоянный,24,0,21,34,20,2023-04-01 00:00:00,78,78,В работе,Сиант ,5,,24,,,45,3.669204,5.7,23,14,4.8,,9.2,2507.355818864255,925.3293883457077,0.17272727272727273
192,1113,112.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-12,1113,К-12,2014-09-30 00:00:00,Гор.,P4+5+6_Block1_yug,Бездействие,Остановлена,-4.0,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2199,2817,2817,,,,открытый,2199-2817,16.9,2199.5,345.14,,,,ЭЦН,300,ГП,-,-,-,-,-,-,-,-,-,-,1700,закрыт,-,D2400N,-,583,64,83-116,-,1762,1606.45,155.54999999999995,73,5.5,65,Угловик,Постоянный,24,0,22,21,21,2023-04-01 00:00:00,189.3,,,,,1881.8815093646713,-22,,,,0,,,,,,,,,
193,1113-1,112.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-12,1113-1,К-12,2014-06-24 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,,,,203,218.2,0.98,1.66,1.074984603429272,1.454,0.836,0.72,34.3,1.17,"177,8;114,3",9.19,"0-2152 
1969-2722",2860,2860,,,,открытый,2207-2860,15.3,2200,352,1866-2207,114,7.37,Газлифт,560.000013574,ГП,1109.999967773,ГП,1590.000064453,ГК 87 1/8,1999.99996875,ЦКсОК 5/16,-,-,-,-,1895,закрыт,-,-,-,-,-,-,-,2152,1767.72,384.28,73,5.5,18,Угловик,Периодический,24,24,22,44,21,2023-04-01 00:00:00,134,78,В работе,ГКС,5,,34,,,56,0.9835122,1.5,21.57,7.5,4.8,,2.7,2745.2633531134643,3534.1332107578132,0.019230769230769232
194,1114,113.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-18,1114,К-18,2014-02-10 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,, ,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2472,3237,3237,,,,открытый,2472-3237,18,2472,639.8,,,,Газлифт,479.999985059,ГП,859.99997168,ГП,1170.000026367,ГП,1419.999948047,ГК 74 1/8,1619.999944922,ГК 77 5/32,1800,ЦКсОК 5/16,1890,закрыт,-,-,-,-,-,-,-,2540,1839.83,700.1700000000001,73,5.5,65,штуцер,Постоянный,24,0,26,38,26,2023-04-01 00:00:00,93,79,В работе,Сиант ,5,,25,,,51,8.1928,9.8,0,23,14.4,,8.6,1049.7021775217263,1757.6408553852164,0.23333333333333334
195,1117,113.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-18,1117,К-18,2014-01-03 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,-4.0,2013-12-19 00:00:00,Slb,90м3 15% HCL + 30м3 WF125,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2037.11,2845,2845,,,,открытый,1811-1813;1975-1977;2147-2149;2354-2356;2531-2532,15,2037.11,165.48,"1646,9-2543,34",114,6.5,Газлифт,549.999991406,ГП,1030.000013672,ГП,1380.000008203,ГК 71 1/8,1594.999945313,ЦКсОК 5/16,-,-,-,-,1605,закрыт,-,-,-,-,-,-,-,1650,1559.22,90.77999999999997,73,5.5,18,Угловик,Периодический,24,24,24,36,23,2023-04-01 00:00:00,85,73,В работе,Сиант ,5,,24,,,48,2.8005999999999998,3.35,0,7.4,4.8,,2.6000000000000005,928.3724916089412,1713.9184460472754,0.09054054054054055
196,1117-1,114.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-18,1117-1,К-18,2014-04-28 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,, ,,203,218.2,0.98,1.66,0.9901399878271455,1.454,0.836,0.72,34.3,1.17,177.8,9.19,1875,2490,2490,,,,открытый,2088-2760,18,1875,119.3,,,,Газлифт,510.000014355,ГП,909.999970898,ГП,1269.999950391,ГП,1610.000034375,ЦКсОК 5/16,-,-,-,-,1805,открыт,-,-,-,-,-,-,-,2110,1852.62,257.3800000000001,73,5.5,18,Угловик,Постоянный,24,0,24,41,23,2023-04-01 00:00:00,79,79,В работе,Сиант ,,,25,,,49,5.9502299999999995,7.3,2.5,17.2,9.6,,7.6,1277.261551234154,1558.0457237731,0.24333333333333332
197,1117-2,115.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-18,1117-2,К-18,2014-06-04 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2041,2740,2740,,,,открытый,2041-2740,17,2041,173,,,,Газлифт,499.999992188,ГП,899.999985938,ГК 77 1/8,1299.999979688,ГК 77 1/8,1560.000035156,ГК 77 5/32,1865.000060156,ЦКсОК 5/16,-,-,1750,закрыт,-,-,-,-,-,-,-,2060,1869.35,190.6500000000001,73,5.5,65,штуцер,Постоянный,24,0,26,46,25,2023-04-01 00:00:00,117,72,В работе,Сиант ,5,,24,,,50,3.5947999999999998,4.3,0,11,3.6,,7.4,2058.528986313564,1001.4465338822745,0.06417910447761194
198,1118,116.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-7,1118,К-8,2013-09-23 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,-4.0,2013-08-04 00:00:00,ЕВС,"32,5т",203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,"177,8;114,3",9.19,2052,2569,2569,,,,Закрытый,"1853-2490;2177-2569;2101,02-2102,17;2162,93-2164,08;2189,46-2190,61;2263,83-2264,43;2339-2491",13,2115.95,76.95,"1790,3-2339",114,7.37,Газлифт,569.999998535,ГП,999.999984375,ГП,1434.000060938,ГК 83 1/8,1760.000032031,ЦКсОК 5/16,-,-,-,-,-,-,-,-,-,-,-,-,-,1952,1852.28,99.72000000000003,73,5.5,18,Угловик,Постоянный,24,0,23,35,22,2023-04-01 00:00:00,119.3,76,В работе,Сиант ,5,,19,,,42,2.9259999999999997,3.5,0,6.5,5,,1.5,512.6452494873548,1708.8174982911826,0.045278137128072445
199,1119,117.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-19,1119,К-19,2014-06-08 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,, ,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2037,2661,2661,,,,открытый,2037-2661,18,2037,194.19,,,,Газлифт,530.000021484,ГП,950.00005957,ГП,1270.000099219,ГК 78 1/8,1530.000005859,ГК 77 5/32,1720.000092188,ЦКсОК 5/16,-,-,1730,закрыт,-,-,-,-,-,-,-,2050,1847,203,73,5.5,65,Угловик,Постоянный,24,0,25,37,24,2023-04-01 00:00:00,139,71,В работе,Сиант ,,,23,,,48,12.0384,14.4,0,20.4,9.6,,10.799999999999999,897.1291866028707,797.4481658692185,0.15824175824175823
200,1122,118.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-19,1122,К-19,2014-08-27 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2036,2700,2700,,,,открытый,2036-2700,12,2036,262.39,,,,Газлифт,594.999998145,ГП,1024.999983984,ГП,1344.999949219,ГК 81 1/8,1594.999945313,ГК 80 1/8,1755.000002344,ЦКсОК 5/16,-,-,1765,закрыт,-,-,-,-,-,-,-,2100,2037.5,62.5,73,5.5,65,Угловик,Постоянный,24,0,25,40,24,2023-04-01 00:00:00,88,73,В работе,Сиант ,,,21,,,46,6.82176,8.16,0,13,10.32,,2.6799999999999997,392.86049347968844,1512.8060793695468,0.19428571428571428
201,1123,118.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,ЗУ-9,1123,Куст скважины-1123,2010-11-28 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,Остановлена,,, ,,203,218.2,0.98,1.66,1.0004920049200492,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1839,2400,2400,,,,открытый,1839-2400,31.78,1839,10.3,,,,Газлифт,599.999990625,ГП,1199.99998125,ГК 78 1/8,1749.999972656,ЦКсОК 5/16,-,-,-,-,-,-,1767,закрыт,-,-,-,-,-,-,-,1945,1876.33,68.67000000000007,73,5.5,18,Угловик,Периодический,24,720,23,41,22,2023-04-01 00:00:00,93,76,В работе,Сиант ,5,,19,,,42,0.7941999999999999,1,5,1,0.6,,0.4,503.6514731805591,704.1427062551344,0.0196078431372549
202,1123-1,119.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,ЗУ-9,1123-1,Куст скважины-1123,2012-02-18 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,, ,,203,218.2,0.98,1.66,0.9860589162322705,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1840,2450,2450,,,,открытый,1840-2450 ,26.79,1840,20.3,,,,Газлифт,449.999992969,ГК 80 1/8,820.000031836,ГК 82 1/8,1109.999967773,ГК 77 1/8,1340.000068359,ГК 75 1/8,1540.000065234,ГК 70 1/8,1700,ЦКсОК 5/16,1735,закрыт,-,-,-,-,-,-,-,1940,1862.38,77.61999999999989,73,5.5,18,Угловик,Постоянный,24,0,23,37,22,2023-04-01 00:00:00,81,80,В работе,Сиант ,5,,22,,,45,14.328204,17.4,1.5,24,10.7,,13.3,928.2391568405922,731.3517937462176,0.4833333333333333
203,1124,120.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-2,К-1,1124,К-55,2014-07-17 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе,-4.0,2014-06-28 00:00:00,Slb,"200м3 15% HCL 
 50м3 WF130",203,218.2,0.98,1.66,0.9808839773675553,1.454,0.836,0.72,34.3,1.17,"177,8;114,3",9.19,"2114;
2032-2826",2830,2830,,,,Закрытый,2303-2304; 2431-2432; 2558-2559; 2675-2676; 2800-2801,47,2303,388.15,,,,Газлифт,599.999990625,ГП,1199.99998125,ГК 80 1/8,1840.000060547,ЦКсОК 5/16,-,-,-,-,-,-,1850,закрыт,-,-,-,-,-,-,-,2037,1860,177,73,5.5,18,Угловик,Постоянный,24,0,24,55,23,2023-04-01 00:00:00,73,57,В работе,Сиант ,6,,,,,45,7.9245276,9.5,0.22,22,8.9,,13.1,1653.0953845122579,1119.6757499544142,0.3392857142857143
204,1124-1,120.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-3,1124-1,К-3,2014-09-26 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2105,2841,2841,2016-01-01 00:00:00,,,открытый,2105-2841,39,2105,288.95,,,,Газлифт,479.999985059,ГП,930.000015234,ГК 81 1/8,1280.000009766,ГК 81 1/8,1540.000065234,ГК 79 1/8,1660.000033594,ЦКсОК 51/6,-,-,1670,закрыт,-,-,-,-,-,-,-,2130,1814.2,315.79999999999995,73,5.5,18,Угловик,Периодический,24,24,27,44,26,2023-04-01 00:00:00,86.4,70,В работе,Сиант ,5,,33,,,60,4.18,5,0,12,5.5,,6.5,1555.0239234449762,1315.7894736842106,0.18939393939393936
205,1124-2,121.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-3,1124-2,К-3,2015-03-25 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,,,,203,218.2,0.98,1.66,1.0441591784338895,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2104,2780,2780,,,,открытый,"1767,78-1768,68;1998,26-1999,16;2096,87-2097,87;2340,94-2341,84",48.6,2104,211.5,1742-2342,114,7.37,Газлифт,529.999984277,ГК  80 1/8,820.000031836,ГК 80 1/8,1080.000012891,ГК 80 1/8,1310.000039063,ГК 79 1/8,1519.999946484,ЦКсОК 51/6,-,-,1700,закрыт,-,-,-,-,-,-,-,2120,1791.23,328.77,73,5.5,18,Угловик,Постоянный,24,0,31,52,28,2023-04-01 00:00:00,160,72,В работе,Сиант ,5,,23,,,54,14.922599999999997,21,15,29,18,,11,737.1369600471769,969.2896722185426,0.19811320754716982
206,1129,122.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-6,1129,К-6,2014-03-15 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,, ,,203,218.2,0.98,1.66,0.9802810926506637,1.454,0.836,0.72,34.3,1.17,177.8,9.19,1957,2741,2740,,,,открытый,1957-2247 ,12,1957,157.05,,,,Газлифт,499.999992188,ГП,884.999971289,ГК 81 1/8,1199.99998125,ГК 80 5/32,1460.000036719,ГК 79 5/32,1699.999973438,ЦКсОК 51/6,-,-,1780,закрыт,-,-,-,-,-,-,-,2250,1832.61,417.3900000000001,73,5.5,65,Угловик,Постоянный,24,0,24,40,23,2023-04-01 00:00:00,84.28,74,В работе,Сиант ,5,,22,,,46,5.8479035999999995,7,0.07,12,5.8,,6.2,1060.2089952371994,990.8469995905751,0.18286311389759666
207,1129-2,123.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-6,1129-2,К-6,2014-09-09 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2014,2850,2850,,,,открытый,2014-2850,22,2014,203.01,,,,Газлифт,599.999990625,ГП,1199.99998125,"ГК 85/1,5",1499.999976563,ЦКсОК 5/16,-,-,-,-,-,-,1750,открыт ,-,-,-,-,-,-,-,2040,1814.14,225.8599999999999,73,5.5,18,Угловик,Постоянный,24,0,24,35,23,2023-04-01 00:00:00,81.1,72,В работе,Сиант ,5,,22,,,46,5.016,6,0,13,8.4,,4.6,917.0653907496013,1674.641148325359,0.17094017094017097
208,1129-1,124.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-6,1129-1,К-6,2014-06-20 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,, ,,203,218.2,0.98,1.66,0.9810448718876489,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2176,2980,2980,,,,открытый,2176-2980,12,2176,283.49,,,,Газлифт,429.99998584,ГП,770.000032617,ГП,1030.000013672,ГП,1260.000039844,ГП,1430.000007422,"ГК 84/1,5",1600,ЦКсОК 5/16,1805,закрыт,-,-,-,-,-,-,-,2200,1809.39,390.6099999999999,73,5.5,65,Угловик,Постоянный,24,0,23,31,22,2023-04-01 00:00:00,99,72,В работе,Сиант ,5,,25,,,48,5.4198716,6.5,0.26,23,8.2,,14.8,2730.691996467223,1507.5076269774593,0.12745098039215685
209,1130,125.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-6,1130,К-6,2015-01-02 00:00:00,Гор.,P4+5+6_Block1_yug,Действующий,В работе,,,,,203,218.2,0.98,1.66,0.9800802957350722,1.454,0.836,0.72,34.3,1.17,177.8,9.19,2779,3670,3670,,,,открытый,2779-3670,33.48,2779,960.33,,,,Газлифт,524.999991797,ГП,1017.000025781,ГК 82 1/8,1428.000055078,ГК  81 1/8,1742.000014453,ГП,1929.999999609,ЦКсОК 5/16,-,-,1730,закрыт,-,-,-,-,-,-,-,2876.27,1827.65,1048.62,73,5.5,18,Угловик,Постоянный,24,0,23,42,22,2023-04-01 00:00:00,74,77,В работе,Сиант ,5,,20,,,43,4.179164,5,0.02,18,9.6,,8.4,2009.9713722648835,2296.4738123044112,0.16129032258064516
